,Id,Variable_Type,Hi,HiHi,Value,Timestamp
1058,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2125001,2022-05-28 15:25:39.427000+00:00
1244,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3671875,2022-05-28 15:25:38.237000+00:00
1059,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1156251,2022-05-28 15:25:37.112000+00:00
1245,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:25:37.112000+00:00
1246,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3984375,2022-05-28 15:25:35.945000+00:00
1060,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.065625,2022-05-28 15:25:35.945000+00:00
1247,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.453125,2022-05-28 15:25:33.663000+00:00
1061,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.065625,2022-05-28 15:25:33.663000+00:00
1062,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1625001,2022-05-28 15:25:32.507000+00:00
1248,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.4453125,2022-05-28 15:25:32.507000+00:00
1249,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3984375,2022-05-28 15:25:31.272000+00:00
1063,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2593751,2022-05-28 15:25:31.272000+00:00
1064,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.359375,2022-05-28 15:25:30.116000+00:00
1065,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2593751,2022-05-28 15:25:28.988000+00:00
1066,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.0687501,2022-05-28 15:25:27.774000+00:00
1250,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:25:27.774000+00:00
1251,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.453125,2022-05-28 15:25:26.649000+00:00
1067,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.01875,2022-05-28 15:25:26.649000+00:00
1252,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.4453125,2022-05-28 15:25:25.476000+00:00
1068,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1625001,2022-05-28 15:25:25.476000+00:00
1069,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2625,2022-05-28 15:25:24.288000+00:00
1253,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:25:23.156000+00:00
1070,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1656251,2022-05-28 15:25:23.156000+00:00
1071,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.065625,2022-05-28 15:25:22.015000+00:00
1254,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3984375,2022-05-28 15:25:22.015000+00:00
1072,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,0.9156251,2022-05-28 15:25:20.869000+00:00
1073,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,0.96875,2022-05-28 15:25:19.709000+00:00
1074,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1625001,2022-05-28 15:25:18.549000+00:00
1255,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:25:17.404000+00:00
1075,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.309375,2022-05-28 15:25:17.404000+00:00
1076,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.015625,2022-05-28 15:25:15.052000+00:00
1256,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.359375,2022-05-28 15:25:15.052000+00:00
1077,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.065625,2022-05-28 15:25:13.763000+00:00
1257,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3671875,2022-05-28 15:25:13.763000+00:00
1078,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2125001,2022-05-28 15:25:12.634000+00:00
1079,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1625001,2022-05-28 15:25:11.487000+00:00
1258,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.359375,2022-05-28 15:25:11.487000+00:00
1259,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3671875,2022-05-28 15:25:10.283000+00:00
1080,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2125001,2022-05-28 15:25:10.283000+00:00
1260,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.359375,2022-05-28 15:25:09.140000+00:00
1081,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.3125,2022-05-28 15:25:09.140000+00:00
1082,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2625,2022-05-28 15:25:07.999000+00:00
1261,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3671875,2022-05-28 15:25:07.999000+00:00
1262,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3203125,2022-05-28 15:25:06.874000+00:00
1083,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.359375,2022-05-28 15:25:06.874000+00:00
1263,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.359375,2022-05-28 15:25:05.686000+00:00
1084,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2125001,2022-05-28 15:25:05.686000+00:00
1085,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.359375,2022-05-28 15:25:04.536000+00:00
1264,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:25:03.411000+00:00
1086,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2125001,2022-05-28 15:25:03.411000+00:00
1265,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.453125,2022-05-28 15:25:02.210000+00:00
1087,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1625001,2022-05-28 15:25:01.066000+00:00
1266,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.4453125,2022-05-28 15:25:01.066000+00:00
1088,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1187501,2022-05-28 15:24:59.909000+00:00
1267,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:24:59.909000+00:00
1268,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3984375,2022-05-28 15:24:57.622000+00:00
